review_id,author,rating,title,text,helpful,date
rw11004709,imrajneesh,,A gritty masterpiece that redefines the Indian spy genre,"If Uri: The Surgical Strike was the roar, Dhurandhar is the bite. Aditya Dhar has returned with a spy thriller that does not just rely on loud patriotism but backs it up with grit, intelligence, and a scale that Indian cinema rarely attempts. Clocking in at over three hours, it is a marathon of a film, but one that leaves you breathless rather than exhausted.<br/><br/>This is the Ranveer Singh we have been waiting for. As the covert operative Hamza Ali Mazari, Singh strips away his usual high-energy flamboyance to deliver a performance of simmering intensity. He is quiet, lethal, and emotionally vulnerable. Whether he is navigating the treacherous lanes of Karachi or breaking down in a rare moment of solitude, he anchors the film with a maturity that defines the second act of his career.<br/><br/>While Ranveer is the soul, Akshaye Khanna is the electrifying current running through the narrative. As the antagonist Rehman Dakait, Khanna is terrifyingly calm and intellectual, proving once again why he is one of the most underutilized actors in the industry. The face-off scenes between Singh and Khanna are masterclasses in tension, relying on psychological warfare rather than just explosions.<br/><br/>What stands out most is the technical brilliance. The film respects the intelligence of the audience, weaving a complex web of espionage involving historical stakes without feeling like a history lesson. The hand-to-hand combat is visceral and realistic, avoiding the gravity-defying stunts often seen in the genre. Shashwat Sachdev&#39;s background score is a character in itself - pounding and relentless during the action, yet haunting during the emotional beats.<br/><br/>Is it long? Yes. But the runtime is justified by the depth of the world-building. Dhurandhar is a mass entertainer with class sensibilities - a rare beast that satisfies the action junkies and the cinephiles alike. It is a high-octane saga that cements Aditya Dhar as a master of the war-spy genre. A must-watch for anyone who loves grounded, intense cinema.",102,
rw11001220,rashidhusain,,High octane spy thriller,"A must watch movie if you are a fan of intense spy thrillers. You&#39;re going to love it.<br/><br/>Ranveer Singh delivers a powerhouse performance and is absolutely on fire.<br/><br/>His performance alone is enough to watch movie.<br/><br/>The film dives deep into espionage, underworld infiltration, and raw patriotism with tremendous intensity and swagger. Although the runtime feels a bit long at times, the gripping narrative and high-voltage execution keep you engaged throughout.",145,
rw11006055,milanjolly,,Blockbuster movie. Must watch.,"I initially thought the movie would have unrealistic action scenes to glorify the spy. But I was taken aback by the meticulously well done world building of Pakistan and Lyari. It showed the mindset of mafia, terrorists and pakistan&#39;s intelligence agency very well and which is reality grounded. Pakistan is historically known to attack India and torture the captured military personnel brutally and in an inhumane way. The movie doesn&#39;t shy away to show that brutal side of Pakistan. The actors gave a fabulous performance, particularly Akshay Khanna and Ranveer Singh.<br/><br/>This movie was a treat to watch. I would recommend every Indian who isn&#39;t delulu left wing but actually cares for the nation regardless of whether they are left or right wing to watch this movie.",72,
rw11001392,ranjitclimb,,Impact full,"Dhurandhar is a strong and engaging film that leaves a lasting impression through its powerful performances and well crafted story. The movie keeps you connected from start to finish without unnecessary complications, and the emotional weight of each character adds depth to the overall experience.<br/><br/>Akshaye Khanna stands out instantly. His calm yet intense way of acting gives the film a very solid foundation. He doesn&#39;t need loud moments to create impact his expressions, timing, and controlled performance speak for themselves. Every time he appears on screen, the scene feels more serious and meaningful.<br/><br/>Sanjay Dutt brings his natural authority and experience to the film. His presence adds a sense of strength and maturity to the storyline. He plays his role with a balanced mix of power and emotion, making the character believable and memorable without overacting.<br/><br/>Arjun Rampal contributes strongly with a very composed and focused performance. He adds a sense of mystery and depth, and his character holds the audience&#39;s attention throughout. Rampal&#39;s acting feels effortless yet very effective, helping maintain the film&#39;s intense tone.<br/><br/>The biggest highlight, however, is Ranveer Singh as the spy. Ranveer fits the role perfectly. His energy, expressions, and emotional range show how much thought he has put into understanding the character. He plays a spy who carries both responsibility and inner conflict, and he brings this out in a very natural way. His action scenes look real, and his emotional moments feel honest. Ranveer&#39;s performance is strong enough to uplift the film on many levels.<br/><br/>The direction and storytelling are simple but impactful, keeping the focus on characters rather than unnecessary twists. The pacing is smooth, and the background music supports the tension in the right moments.<br/><br/>Overall, Dhurandhar is a well made, engaging, and powerful film. With strong acting from Akshaye Khanna, Sanjay Dutt, Arjun Rampal, and an excellent performance by Ranveer Singh, it becomes a movie worth watching for anyone who enjoys intense and meaningful cinema.",128,
rw11004025,vinay-93622,,Awesomely thought and scripted movie,"Amazed to see a brilliant movie coming from Aditya Dhar, which is well scripted and offers you a cinematic experience.<br/><br/>It showcase the journey of weak Indian government in early 2000 against terrorism ; and how RAW launches a brilliant plan to infiltrate Pakistani mafia.<br/><br/>Akshya Khanna will blow your mind with subtle act. You will find him heroic<br/><br/>A must watch in theatres only !",83,
rw11006480,pranayjalvi,,"Started strongly, but falters at places","Dhurandhar opens with a jolt. The film throws you straight into the brutality of its historical backdrop, staging the violence
with a kind of cold intensity that doesn&#39;t letup. The story dives into the world of undercover operations, betrayal, and the
constant tension of living behind enemy lines.<br/><br/>The performances are easily the strongest pillar here. Ranveer Singh handles the lead role with solid control, especially in the
heavier moments, though the film never lets us truly get under his skin. The real standout is Akshaye Khanna as Rehman
Dakait. He barely speaks, yet his eyes carry entire paragraphs. Every expression lands like a threat, and he steals the frame
without even trying. I personally felt Sanjay Dutt as SP Aslam as the weaker character, with no impactful dialogue or presence on the screen.<br/><br/>Technically, Dhurandhar is an impressive film. The background score keeps tightening the rope around the audience, although I didn&#39;t feel it synced every time with the scene. The cinematography was good, however the direction and editing could have been better. A lot of choppy editing was noticeable throughout the movie. The camera movement while decent throughout the movie, was awkward on certain occasions. The use of real footage of 26/11 conversation was something surprising as well as heavily convincing.<br/><br/>But the film collapses under its own weight. There are too many characters, too many arcs, and too many threads fighting for attention. With the narrative jumping around so much, there&#39;s little emotional connection with the protagonist or his
mission. It&#39;s hard to care whether he succeeds or fails when the film doesn&#39;t slow down enough to let us live with him.<br/><br/>The romance between Ranveer Singh and Sara Arjun is easily the weakest part of the film. The chemistry felt both awkward as well as forced. Everytime there scene appeared, it kinda pulled me out of the real narrative.<br/><br/>The violence, while impressive in execution, sometimes crosses into excess. There are moments that feel gruesome just for the sake of being gruesome, adding shock but not substance. The pacing was another concern. The film was long by atleast 30 minutes due to various unnecessary subplots and I felt it could have been wrapped in 3 hrs with a tighter grip on the story.<br/><br/>Overall, Dhurandhar is an ambitious and technically strong movie, that works mostly due to it&#39;s premise and great performances, however is bloated by uneven storytelling that loses it&#39;s grip on the way.<br/><br/>My Rating : 3.5/5.",17,
rw11006261,imdbfan-6010566564,,Trauma in the name of Cinema,"Text: Went to watch Dhurandar and honestly... I regret it. What an unbearable stretch of a movie. Two words: Senseless. Pathetic. A spy agent enters Pakistan, instantly becomes famous, convinces a politician to marry his daughter. Like seriously??? Is being a spy this easy now? Where&#39;s the realism? Where&#39;s the logic? Who approved this script? The story writing, editing, and screenplay feel like torture - long, dragged, and nowhere engaging. The plot tries to be &quot;mass patriotic thriller&quot; but ends up looking like WhatsApp-forward level fiction. Only one saving grace: Akshaye Khanna - the only actor who even tries to keep this disaster alive. Without him, the movie would collapse in the first 30 minutes.<br/><br/>Final Verdict If you love your time, your money, and your mental peace - skip this film. It&#39;s not entertainment, it&#39;s cinematic trauma.",17,
rw11001939,aman_tewathia,,Blood in Shadows,"It&#39;s brutal, uncompromising, and unapologetically hard-edged. Perfectly assembled cast. Each actor embodies their role with precision. Powerhouse performance from each character. Together, they elevate the films from mere action into a character driven saga. Strong background score becomes part of the story.",74,
rw11004655,khannadir-83584,,A Milestone in Indian Spy Cinema,"Dhurandhar is nothing short of a landmark in Indian espionage filmmaking. Bold, sharp, and unapologetically intense, the film elevates the spy genre in ways Bollywood has rarely attempted. What sets it apart is its commitment to gritty realism, its depiction of covert operations, high-stakes intelligence work, and the psychological toll on field agents feels far more grounded than the glossy, larger-than-life approach seen in many mainstream spy franchises.<br/><br/>The film&#39;s portrayal of a hostile intelligence adversary, modeled through its fictionalized spy agency antagonists, is brutal, raw, and narratively effective. Where some commercial films opt for sanitization or melodrama, Dhurandhar leans fully into the darker shades of espionage, using tension and moral ambiguity to drive the story forward.<br/><br/>The screenplay is exceptional. Real-world inspired incidents are woven seamlessly into the narrative, creating a sense of authenticity that never feels forced. Every subplot, every twist, and every backstory merges into a cohesive whole without a single jarring bump. It&#39;s rare to see such meticulous structuring in Bollywood thrillers.<br/><br/>The background score deserves special recognition. It heightens the suspense without overwhelming the scenes, striking the perfect balance between cinematic flair and subtle atmospheric tension. The action sequences, too, are a standout-brutal, tightly choreographed, and refreshingly devoid of unnecessary slow motion or over-the-top heroics.<br/><br/>In a genre often dominated by style over substance, &quot;Dhurandhar&quot; proves that Indian cinema can deliver espionage storytelling that is both artistically rich and thrillingly raw. It&#39;s a must-watch for fans of realistic spy dramas and a benchmark future Indian films in this genre will be measured against.",65,
rw11005865,bajajgaurav,,The best espionage film in Indian cinema.,"I do not even know where to start but I will try my best to give it a shot.<br/><br/>The thing is that we have abused words like greatest, masterpiece, generational and blockbuster to an extent where they mean nothing anymore and we have thrown them at so many empty mediocre films that when something real arrives we do not have the vocabulary left to honour it. Because of that inflation of praise I do not know how to give justice through words to something that actually deserves reverence.<br/><br/>All I can honestly say is that every Indian should watch this film because Dhurandhar is not just any film, it is one of the greatest cinematic experiences of recent times and unquestionably the best espionage film in Indian cinema.<br/><br/>The performances are frighteningly brilliant because these people are not acting. They are breathing the consequences of history. Akshaye Khanna does not perform, he embodies Rehman Dakait, one of the finest actors this country has ever seen. Ranveer Singh reminds you that regardless of how loud, messy or chaotic he is as a public figure he is a generational actor. Arjun Rampal, Sanjay Dutt, R Madhavan, Rakesh Bedi and Sara Arjun every single one of them delivers with terrifying precision.<br/><br/>Aditya Dhar, easily one of the best directors right now, deserves to be celebrated because he has created something that deserves cultural recognition. We celebrate average films with loud voices but this is the kind of work that should be remembered. I am genuinely glad that this story is being told in two parts because one film could never have carried the weight of this narrative or the tension of this experience.<br/><br/>There is a moment in this film where they play the real recordings from 26/11 attacks, the real conversations between the handlers and the terrorists and in that moment everything becomes frightening, enraging and unbearably real. It does not sensationalise tragedy and it does not treat terror like entertainment. It confronts you with history and demands that you feel something instead of just consuming it.<br/><br/>Dhurandhar is special because it is not scared to show the truth even when the truth is ugly.<br/><br/>Oh man, I could go on and on about how I am in absolute awe but anything I say right now will probably sound like hyperbole to y&#39;all, so it is better that you go watch the film and live the experience I just lived.<br/><br/>The post credit scene that teases Dhurandhar 2 gave me chills.<br/><br/>19 March 2026. I&#39;ll be there.<br/><br/>I don&#39;t know if these words do justice to what I just experienced, but if you&#39;re reading this -<br/><br/>Go watch Dhurandhar. Not later. Now.",53,
rw11006061,kspvg,,Aditya Dhar !! You beauty,"What a movie !!!! Shows how actually a spy operates.<br/><br/>Dhurandhar is a film that stays with you long after the credits roll. It is not merely a spy thriller; it is an emotional reminder of the men and women who walk unknown streets, carry hidden identities, and fight unacknowledged battles so that the rest of us can live in peace. Rarely does a film manage to blend intensity, patriotism, and raw human emotion with such precision.<br/><br/>The narrative hits with force. Every frame feels purposeful, every scene carries weight. The director crafts a world of shadows where loyalty is tested, sacrifice is constant, and courage is not loud - it is silent, disciplined, and deeply personal. What touches the heart is the film&#39;s honesty. It does not glorify heroism; it reveals the emotional cost behind it.<br/><br/>The lead actor delivers a performance that is both powerful and heartbreakingly vulnerable. You see the steadiness of a soldier, the burden of duty, and the quiet tremors of a human being who cannot afford to break. The supporting cast mirrors this emotional depth, giving the story a lived-in realism that draws you in completely.<br/><br/>The writing is sharp yet sensitive, capturing the spirit of service without theatrics. The background score elevates this emotional journey beautifully - stirring, soft at the right moments, and rising with a patriotic pulse when needed. The cinematography matches the tone perfectly, pulling you into the tension, the loneliness, and the unspoken bravery that defines an intelligence operative&#39;s life.<br/><br/>What makes Dhurandhar unforgettable is its heart. It honours those who protect India without applause, without visibility, without rest. It is a tribute to sacrifice that ordinary people will never fully understand - and that is exactly why it must be seen.<br/><br/>A gripping, emotional, deeply heartfelt film.",32,
rw11004615,shobhansingh-243-918368,,Enjoyed watching it...,The movie was gripping enough to keep me hooked for three plus hours... We watched in IMAX and found the bgm was done well... There were some good action sequences and gore scenes that kept my eyebrows raised... Very Indian and full of patriotic masala so one should take the story with the grain of salt... Had fun with the hooting and laughs in the theatre...,31,
rw11001505,kulincoolkkp,,"Dhurandhar: A Bold, Immersive Thriller Elevated by Powerful Performances and Technical Mastery","Dhurandhar opens with striking intensity, pulling the audience straight into the unforgiving world of covert operations and the psychological weight carried by those who live behind enemy lines. Rumoured to be inspired by the life of Major Mohit Sharma, the film blends tension, atmosphere, and high-stakes drama with impressive control. Ranveer Singh delivers a steady, compelling performance, while Akshaye Khanna&#39;s near-silent portrayal of Rehman Dakait is magnetic-every look feels loaded with meaning. Technically, the film is exceptional: the score heightens the suspense, the cinematography and production design achieve an eerie authenticity, and the VFX integrates seamlessly with practical work. Smart use of real footage and audio elevates key moments into genuinely chilling territory, and the action sequences are raw, grounded, and executed with remarkable precision.<br/><br/>Where Dhurandhar stumbles slightly is in its narrative density. With a large cast and multiple threads, the emotional core doesn&#39;t always receive the breathing room it deserves, and a few subplots-particularly the romantic track-feel less essential to the film&#39;s overall impact. A handful of violent moments edge toward excess, and the pacing occasionally stretches under the weight of its ambitions. Still, the film&#39;s strengths far outweigh its flaws. Dhurandhar stands as a bold, immersive, and technically outstanding thriller-one that leaves a strong impression and sets the stage confidently for its next chapter.",49,
rw11011701,kunalmshah,,So...it's good...but...,"Let&#39;s talk about the positives first. Great acting all around, very well cast. I think this was one of Rakesh bedi&#39;s best performances. I don&#39;t get the hype around Akshaye Khanna in this movie. He is always stellar and did well in this movie but this is no where close to his best acting performance. I felt his performance was as good as Sanjay dutt or Arjun Rampal without being that much better. Ranveer definitely stood out and carried the movie well. I&#39;m not a huge ranveer fan but he always performs really well. This was ranveer&#39;s &quot;Animal&quot;. The story line was compelling especially considering it was based on true events. The movie was very long though and did drag in certain parts. I also don&#39;t get the need for hard core gore when it comes to showing the violence. I thought they could&#39;ve done a better job of speaking more Urdu and less Hindi throughout the film to add to the authenticity of being in Pakistan. The music was average. Not a huge fan of the underlying Hindu nationalist subtext throughout the movie. This is not a movie I would want to watch again. That being said, I will be seeing the sequel for sure. I do feel it is way better than any yash raj spy universe movie but doesn&#39;t compare to movies like raazi and URI which shine in this &quot;spy/armed forces jai hind&quot; genre. Overall I would say this movie was towards the upper end of average but not above average in any metric.",14,
rw11046375,abbydash,,Not worth the hype,"Dhurandhar arrives wrapped in loud promotions and sky-high expectations, but sadly, the film struggles to live up to the buzz. What promises to be a gripping, high-energy entertainer ends up feeling oddly hollow and uneven. The background score and cinematography are serviceable, but they feel more like noise and visual gloss than meaningful storytelling tools. Even the action sequences, which were heavily marketed, lack originality and fail to leave a lasting impression.",7,
rw11006160,nitishsahsah,,Worth watching,"It&#39;s been a long time since Bollywood pulled together a cast this big and truly made it count. Great chemistry, sharp pacing and strong performances kept me hooked. I&#39;m still replaying scenes in my head. A film that&#39;s absolutely worth your time and deserves all the praise coming its way and definitely a movie I&#39;d recommend without hesitation.",24,
rw11006327,satyajeetdash-60955,,Best Spy movei of 2025 since after baby,"Best movie to watch i have watched this in theatre for 2 times still want to watch this again....not a single moment you feel bore in this movie the songs, the cinematography is so goated that I feel so amazed to see.you need to watch the movie in theatres for the best sound effect and the use of music in movie was so nice.",28,
rw11005988,harshzaveriz,,"Constant thrill for 3+ hr, intricately detailed in all aspects","A once in a decade spy thriller, and coming from the director of Uri, the movie is such an upgrade on revealing Pakistan&#39;s reality, the other spy-universes don&#39;t even come close to the unabashed portrayal of reality and the constant sense of danger our Indian spies must be going through each moment behind the enemy lines.<br/><br/>More than a one-time watch as I am sure one could pick out more details in subsequent viewings and connect them with the real life characters the movie alludes to.",29,
rw11012897,manishagarwal-67679,,Best,"Best movies till date. Dhurandhar is one of those rare films that pulls you straight into its world from the very first frame. It is intense, gripping, emotional, and crafted on a massive scale. What stands out most is the powerhouse performance by Ranveer Singh, who disappears completely into the character. His raw intensity, vulnerability, and unpredictable energy make the film unforgettable.",16,
rw11006000,abhisheksingh-72561,,GAME CHANGER!!,"Aditya Dhar&#39;s Dhurandhar is a long, intense, and ambitious film that has earned strong but divided reactions from both critics and audiences.<br/><br/>A Gritty, Geopolitical Thriller<br/><br/>Set against the backdrop of real historical events like the 1999 hijacking and the 2001 Parliament attack, the story follows a RAW agent who goes deep undercover into Karachi&#39;s Lyari underworld to dismantle a gangster-ISI terror nexus. The film is structured into distinct chapters and builds a gritty, complex world of espionage and geopolitical maneuvering.<br/><br/>The Major Strengths<br/><br/>· Powerhouse Performances: The cast is consistently praised as a major highlight. Ranveer Singh delivers a controlled, intense performance, often described as career-best. Akshaye Khanna is frequently called the scene-stealer, bringing a chilling, charismatic menace to his role.<br/><br/>· Technical Craftsmanship: The film is noted for its high production values, visceral action choreography, and a pulsating background score that significantly elevates the tension.<br/><br/>· Immersive World-Building: Director Aditya Dhar is commended for creating a detailed, believable, and ruthless world of Karachi&#39;s underworld and intelligence operations.<br/><br/>Key Points of Criticism<br/><br/>· Demanding Runtime: This is the film&#39;s most debated aspect. With a runtime between 212 to 214 minutes (over 3.5 hours), many reviews note that the narrative feels overstretched, particularly in the first half.<br/><br/>· Uneven Pacing: The slow-burn, deliberate pace of the first hour, dedicated to character and plot setup, tests the patience of some viewers expecting a faster thriller.<br/><br/>· Contested Romantic Subplot: The romantic track between Ranveer Singh&#39;s character and the politician&#39;s daughter (played by Sara Arjun) is seen by some critics as an underwritten element that could have been trimmed.<br/><br/>Final Verdict &amp; Audience<br/><br/>Dhurandhar is not a light, breezy watch. It is a dense, serious-minded spy saga that requires and rewards patience. Most reviews conclude that if you can commit to its epic length and appreciate grounded, performance-driven geopolitical thrillers, it offers a compelling big-screen experience.<br/><br/>However, if you prefer fast-paced, straightforward action or have limited tolerance for very long films, you might find it challenging. The film also ends with a clear setup for a sequel.<br/><br/>I hope this non-spoiler review helps you decide. Are you generally a fan of long-form, detailed storytelling in films, or do you tend to prefer tighter narratives? Knowing this could help me provide more tailored insights.",20,
